Poll_ID,Pollster,Date,Parliament_ID,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
BT02170922S,Forsa,2017-09-22,BT,36,22,7,9.5,9.5,11,NA
NI01170928V,Infratest dimap,2017-09-28,NI,35,34,9,8,5,6,NA
BT06170929B,Forschungsgruppe Wahlen,2017-09-29,BT,32,21,11,10,10,12,NA
BT03170930I,Emnid,2017-09-30,BT,33,21,10,11,10,12,NA
BT02171004T,Forsa,2017-10-04,BT,32,20,10,11,10,12,NA
NI06171005X,Forschungsgruppe Wahlen,2017-10-05,NI,33,33,9,10,5,7,NA
NI01171005W,Infratest dimap,2017-10-05,NI,34,34,8.5,8,4.5,8,NA
BT03171007J,Emnid,2017-10-07,BT,32,22,9,10,10,12,NA
BE02171008G,Forsa,2017-10-08,BE,19,18,15,9,19,11,NA
NI05171009Y,INSA,2017-10-09,NI,32,33,10,10,5,7,NA
BT02171011U,Forsa,2017-10-11,BT,32,20,11,11,9,12,NA
NI06171012A,Forschungsgruppe Wahlen,2017-10-12,NI,33,34.5,9,9,5,7,NA
BT01171012G,Infratest dimap,2017-10-12,BT,32,20,10,11,10,11,NA
BT06171013C,Forschungsgruppe Wahlen,2017-10-13,BT,31,21,11,11,10,12,NA
BT03171014K,Emnid,2017-10-14,BT,31,21,10,11,10,12,NA
BT02171018V,Forsa,2017-10-18,BT,32,20,11,11,9,12,NA
BY04171019V,GMS,2017-10-19,BY,41,15,11,7,3,13,NA
BT04171019U,GMS,2017-10-19,BT,31,21,9,12,10,13,NA
BT01171020H,Infratest dimap,2017-10-20,BT,31,21,11,12,9,12,NA
BT03171021L,Emnid,2017-10-21,BT,32,21,10,11,9,12,NA
TH05171023Y,INSA,2017-10-23,TH,31,13,4,7,20,20,NA
BT09171025A,Allensbach,2017-10-25,BT,33,20.5,9.5,12,9,12,NA
BT02171025W,Forsa,2017-10-25,BT,31,22,10,11,10,11,NA
BT06171027D,Forschungsgruppe Wahlen,2017-10-27,BT,33,21,11,10,9,12,NA
BT03171028M,Emnid,2017-10-28,BT,31,22,10,11,9,12,NA
SN20171031V,IM Field,2017-10-31,SN,31,14,4,7,17,21,NA
BE02171101H,Forsa,2017-11-01,BE,20,19,14,9,18,11,NA
BT02171101X,Forsa,2017-11-01,BT,33,20,11,11,9,11,NA
BT03171104N,Emnid,2017-11-04,BT,31,21,11,10,10,12,NA
